"","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","A","Y"
"1",0,0.504218643913124,-4.6037149529765,0,-3.20218582918323,4.32755231040428,-1.51482407608878,-3.48011671584714,6.70401781602187,9.30105625838616,3.1028950066312,1.54518702129967,1.25501954228921,7.11507939465362,0.728766408607249,0.207237695548573,-2.19212874835976,-1.51336032720693,-1.23061120516666,-0.228080963141738,-0.137218031177005,1.40199491738382,-2.02039461766213,1.20558887248072,2.64222496449814,1,0
"2",1,0.452101909257881,-2.9282287652867,0,0.302953987077613,1.45772799575243,-3.07568379093962,2.9657141885813,7.12461188942898,4.28831284401779,6.85726012691521,2.43857971518459,-5.84303654719932,-3.09549334721123,-1.45576492017672,-8.15094436772233,-6.4250952643108,-5.5676215583195,-2.62761497111434,-0.111361890995728,-7.23022448173274,3.08243349034648,1.83324083845274,1.60915144191695,-5.82305545664316,1,0
"3",1,0.407049032748897,-5.74148526373982,0,1.00911762012148,4.08270510651974,-3.56029664445546,2.58299146969721,3.24542219931189,1.27320687678178,5.770158426811,10.0286007429472,-5.88198437813502,-5.19145096333705,-0.821501036065218,-1.57924202270053,-2.24326694394582,-12.6932883874859,-0.963146903085798,6.80386326736407,2.61637629452078,2.72181663147608,6.7180738144261,1.34958130259157,4.66314578522387,0,1
"4",0,0.283654153370264,2.30893860018176,1,4.75988932366807,10.5509218949735,6.38179409506548,-11.2465781861544,-1.66300090375087,5.47691172457852,0.245903607899852,0.659428524321231,-0.17223516356309,-2.34946815419158,-6.36848486788388,-2.74518991290752,2.04904580985095,1.53914586760408,-6.46443952073595,-3.53878979644116,2.44627930481977,-6.62557177908663,16.0612049448474,-5.77032576053489,-7.53462119788236,1,1
"5",0,0.422158071326089,-1.13734298933784,0,-5.63407393482881,7.30903938547493,-1.40303698961023,-10.6744124450593,7.13213486646276,14.687084171476,-4.17134778484469,0.508363583578253,-3.8627923475606,-0.769016175145335,-3.49458994567546,0.682340340169171,-5.45766063533389,-11.7335659951732,-4.28918016324134,-6.08618295556821,1.05106972249246,6.17048552154705,-0.809514374187785,-3.8642718332735,-8.40605322914629,1,0
"6",1,0.290559082559863,9.82513580827785,1,3.0314542050295,5.37360142984144,6.80369437528371,-1.61954674302231,-1.63783358037767,-4.49971043668986,-3.38637927654429,-4.02491065201779,9.80016989773041,5.69081624060883,0.979767953518107,-0.755750799349816,2.56075420117308,7.85624108680661,-0.878952667260176,-3.50962507671692,6.02822014490354,-5.4797818842863,4.84726368010311,-7.40312570609205,-11.6762400307931,1,1
"7",1,0.437769154170407,-2.95669073956565,0,-9.25341277649024,-6.42674470814367,0.394514314799161,-8.55132804543275,8.42171776884427,-5.56564119494586,7.16376768094946,8.85083839184738,-8.47221189465412,-1.84973357624897,2.17453274790261,3.92479954070318,-13.1623914230133,-2.84509481816386,-0.615053516046974,3.70176799268891,-1.53628910630004,-0.781127018968254,-8.78722107388765,4.73403001171893,0.290378525405226,1,1
"8",1,0.835081407374802,-6.51414943036739,0,-2.11757784078131,0.786388316269056,0.565791984004994,3.0661655419849,3.37182702242527,-0.43721068925947,-12.0537946013732,-4.68158180584651,8.48718912322486,9.4635121406106,-1.55989814162206,-3.65351304032262,-0.97409754683393,5.04556025206472,-2.6332002779528,5.95295214524131,-0.402010471269967,-4.38963672061137,-1.29796544412267,-7.5767242126769,-1.00870702642693,1,0
"9",1,0.371466252678598,-2.63882814268488,0,2.9789579446543,0.967330292914362,-1.36173120284822,-8.1888827030623,1.38281344459445,-6.15860659588732,0.530216705478123,5.11365853581284,-4.95465593807177,-4.39144595993559,-4.94379457610094,4.15691846319714,-7.36794386048593,-10.4919091532536,-4.92489709086997,-1.2910253455022,1.78594528691313,0.460169379946608,4.93611264188904,2.86951670270102,-6.86512022642054,0,1
"10",0,0.369589131821701,2.76325524368547,1,-1.35342378944535,7.91245887759607,2.85642721772229,4.06982740121129,0.458363092546162,4.9604278454439,4.51633811581036,4.53089393667925,-7.25065240062587,-6.46239724216075,-3.27952541760215,-1.31949324859187,0.714616651500098,5.37135220554199,0.285628440620981,2.17285840046831,-4.81532802228685,-2.38681264354653,5.64455311435004,0.730329368388186,2.58019095983779,1,1
"11",0,0.388731638516741,8.01783416288166,1,0.471682015750607,-0.576861847683718,1.99370177039151,-4.00002468048405,-5.64587006351182,-0.983311964434509,2.20444527918724,-0.321873599066003,-6.27443605171388,0.00470786081302478,6.30221230905278,9.49920574269754,4.25426470283415,2.31405250083886,3.77149524420179,-7.95268971033617,1.15652340349737,1.50795407713529,-2.26904297678834,-3.90368176653076,4.73913291640263,1,1
"12",0,0.467452051389434,4.17782212315336,1,9.5904296804556,-7.53085611582827,-3.22235649124738,-1.38700086949314,-4.351456061186,-4.49963979603988,9.03163476474273,11.281664035604,-10.0969637165812,-9.2579622392676,8.00974879089803,10.9309197723528,-2.4358567464157,-10.9025114616882,0.23444878114209,4.9893484885491,-1.47978072361731,-4.30383886387237,-0.993457174199949,8.28352130261453,2.13187283011347,1,1
"13",1,0.501949190356661,-7.14254769047142,0,-0.952455922277917,-2.35456221105587,0.527242788347016,2.63224426397151,1.01239896971107,-1.85658177432429,2.07862151158796,1.10022959477991,0.946008586731562,-1.46318336741135,-3.44182793804645,4.60858147267099,-0.825459631831007,5.40264255282463,8.79609045289986,1.28987312707571,-1.84496308106199,2.39608567599872,1.44754658917799,-0.173534502172696,6.40128319101495,1,0
"14",0,0.473838597892169,5.33736708759008,1,-1.16662396301495,5.70418474170455,-1.13986069643769,6.62741340443223,4.88034247235119,5.76809942568816,-1.1321957962795,1.09123745598462,5.3275911082791,-6.30175496876379,-8.3978614218325,-1.39730986070844,1.37639437701308,3.77334419797044,-2.47248031956737,-3.30061626542585,-3.1723302254424,-0.321989869515894,-2.17928158308051,0.12790506511526,-5.90177025709619,0,0
"15",0,0.545269002470325,2.41404527482012,1,7.4858133493401,-0.918856645121931,-0.10158974899916,-6.34206930019766,-5.84441659497928,-5.90296683614036,0.911768340866506,0.399961973225134,-4.4117223845926,-7.56074862165586,4.05847811592255,2.28339665837885,7.20022528643875,11.6374665310547,-2.95191357884368,-0.569738190392328,5.85422193957978,-2.37642782261213,-1.37690876857146,-1.10519200444355,-3.466573550784,1,1
"16",1,0.748485564181523,-0.113600920186958,0,0.158520304315736,-0.496006619645711,6.15163137733148,6.00081065063244,-1.14949742795599,0.0363962310896153,-2.65504344412892,-2.39263256944655,16.2230142452919,4.92319147862315,-3.34452016306601,-8.58644028577239,3.33508107393069,6.63094327745897,4.12702815514801,7.87487987170905,5.16107276623152,-4.17144435354654,-3.80776281825786,-1.19917593896466,3.5789652071011,0,1
"17",0,0.584235553249387,-5.63854074382724,0,-5.37707896070421,-7.6380904177303,1.69150257812493,0.739582392882429,7.55350958486045,-4.85719890885338,-4.93882675973798,12.4635822467714,-8.67133464162757,-5.50191491802804,0.978641586109083,-0.0631776091548586,-4.48846466537641,-7.46023453330606,1.75345763902558,18.3735052337429,-2.41373570051147,-1.43233966580648,-12.5032562234832,9.96615185510557,-4.64298935290987,1,0
